Date,Event Description,AM Peak - Late,AM Peak - Canceled,AM Peak - Terminated,PM Peak - Late,PM Peak - Canceled,PM Peak - Terminated,Off Peak - Late,Off Peak - Canceled,Off Peak - Terminated
7/25/2023,Incorrect action by operator,26,0,0,0,0,0,2,0,0
7/25/2023,No.2152 Equipment trouble,0,0,0,11,0,1,0,0,0
7/24/2023,Trespasser strike on Mainline 3 West of Hillside,61,8,0,0,0,0,12,2,1
7/24/2023,Amtrak related communication Issue,0,0,0,15,0,0,5,0,0
7/19/2023,Trespasser on the tracks in Jamaica,41,0,0,0,0,0,22,0,0
7/19/2023,No. 2768 derailing West of Far Rockaway,0,0,0,1,1,6,1,1,9
7/14/2023,No.39 - Equipment Trouble,17,0,0,0,0,0,0,0,0
7/13/2023,Forest Hills Stadium Loading,0,0,0,6,0,0,18,0,0
7/13/2023,Smoke Condition East New York to Dunton,0,0,0,0,1,0,4,4,2
7/12/2023,No.2838 - Equipment Trouble,8,6,0,0,0,0,6,1,1
7/12/2023,Slow Loading,7,0,0,0,0,0,9,0,0
7/8/2023,Forest Hills Stadium Loading,0,0,0,0,0,0,14,0,0
7/7/2023,Forest Hills Stadium Loading,0,0,0,0,0,0,21,0,0
7/6/2023,Track Condition at F Interlocking,3,0,0,0,0,0,12,0,0
7/5/2023,Train No. 222 with a 292 violation in Hall Interlocking,0,0,1,0,0,0,17,0,0
7/5/2023,Train No. 2962 disabled in Brook 1 Interlocking,0,0,0,5,3,0,3,2,0
7/5/2023,Heavy holiday loading,3,0,0,0,0,0,10,0,0
7/3/2023,Trespasser strike at New Hyde Park,2,0,0,0,0,0,6,1,30
7/3/2023,Heavy holiday loading,0,0,0,3,0,0,9,0,0
6/30/2023,Suspected trespasser strike East of Merrick,3,2,0,0,0,0,9,3,1
6/29/2023,Signal Trouble between Harold & Jamaica,0,0,0,2,0,0,27,0,0
6/28/2023,Signal Trouble between Nassau 3 & Divide,0,0,0,5,0,0,12,0,0
6/27/2023,Equipment trouble No. 1264,0,0,0,8,1,0,5,0,0
6/26/2023,Acses issue in Line 3 at F Interlocking - Amtrak related,0,0,0,16,0,0,4,0,0
6/25/2023,Heavy summer loading,0,0,0,0,0,0,20,0,0
6/25/2023,Smoke condition in Line 4 - Amtrak related,0,0,0,0,0,0,15,0,0
6/24/2023,Event loading at Forest Hills,0,0,0,0,0,0,12,0,0
6/23/2023,Event loading at Forest Hills,0,0,0,2,0,0,22,0,0
6/22/2023,Intermittent track circuit failure on Mainline 3,10,0,0,0,0,0,0,0,0
6/15/2023,Customer falling into the gap at Massapequa station,0,0,0,2,3,0,11,5,1
6/13/2023,Sick passenger at Kew Gardens,13,0,0,0,0,0,0,0,0
6/13/2023,Signal Trouble on Mainline 3 at Harold Interlocking,0,0,0,0,0,0,13,0,0
6/9/2023,Smoke condition in Grand Central terminal,0,0,0,0,0,0,5,2,6
6/9/2023,Medical emergency on train 2962,0,0,0,7,4,1,4,2,0
6/9/2023,Event loading at Forest Hills,0,0,0,0,0,0,14,0,0
6/7/2023,Acses trouble account of train 570,0,0,0,0,0,0,16,0,0
6/7/2023,Train 2962 gapping from 1 Atlantic to 3 station at Jay Interlocking,0,0,0,15,0,0,7,0,0
6/6/2023,Switch trouble at Harold Interlocking,6,0,0,0,0,0,4,0,0
6/6/2023,Signal trouble at Babylon Interlocking due to Inclement weather,0,0,0,11,7,0,6,2,1
6/5/2023,Possible trespasser on the tracks west of Huntington,0,0,0,6,0,1,6,0,0
6/3/2023,Signal trouble at Jay Interlocking,0,0,0,0,0,0,21,0,0
6/3/2023,Loss of supervisory system at Harold,0,0,0,0,0,0,13,2,0
6/2/2023,13 Switch out of correspondence at Nassau 1 Interlocking,6,0,0,0,0,0,4,0,0
6/1/2023,Incorrect action by engineer at Plaza Interlocking,0,0,0,9,0,0,4,0,0
5/29/2023,Train 8068 struck a trespasser west of Pinelawn Station,0,0,0,0,0,0,4,5,2
5/29/2023,Heavy holiday loading,0,0,0,0,0,0,17,0,0
5/28/2023,Signal trouble in Queens Interlocking,0,0,0,0,0,0,12,0,0
5/26/2023,Switch trouble in Massapequa Interlocking,0,0,0,9,2,0,6,2,0
5/23/2023,Train 1127 delayed west of Baldwin Station with equipment trouble,11,0,0,0,0,0,0,0,0
5/23/2023,Extended track work at Woodside,0,0,0,2,0,0,15,0,0
5/23/2023,Train 1954 struck a trespasser west of Wyandanch Station,0,0,0,5,3,1,7,3,3
5/23/2023,Intermittent ACSES due to Verizon outage,1,0,0,2,0,0,9,0,0
5/19/2023,Track circuit failure in Grand Central Terminal,0,0,0,5,3,0,11,0,0
5/16/2023,Train 1127 delayed in Massapequa with equipment trouble,19,0,0,0,0,0,0,0,0
5/16/2023,"Bridge strike at Continental Ave., Forest Hills",0,0,0,65,0,0,35,0,0
5/11/2023,DOT work train derailment in Long Island City Yard,8,0,11,0,0,0,0,0,0
4/30/2023,Switch trouble at East New York,0,0,0,0,0,0,19,5,1
4/28/2023,Switch trouble in Hall and Jay Interlockings,0,0,0,0,0,0,38,3,1
4/28/2023,"Loss of 100 Cycle power in Jay, Hall and Valley Interlockings",0,0,0,19,0,0,55,1,0
4/27/2023,Scheduled track work on Atlantic Branch,0,0,0,0,0,0,11,0,0
4/25/2023,Disorderly passenger on train 2721 at Far Rockaway Station,11,0,0,0,0,0,0,0,0
4/23/2023,PSE&G loss of power at Divide Interlocking,0,0,0,0,0,0,21,2,1
4/21/2023,Trespasser on tracks between Baldwin and Rockville Centre,0,0,0,9,0,0,8,0,0
4/20/2023,Signal trouble at East New York,0,0,0,0,0,0,10,1,0
4/19/2023,Signal trouble in Harold Interlocking,10,0,0,0,0,0,0,0,0
4/17/2023,Undergrade bridge strike at Floral Park Station,0,0,0,0,0,0,11,0,0
4/15/2023,Train 8770 delayed at Woodside for medical assistance,0,0,0,0,0,0,11,0,0
4/14/2023,Switch trouble in Harold Interlocking,8,0,0,0,0,0,4,0,0
4/13/2023,Train 566 caused delays west of Jamaica due to mechanical trouble,0,0,0,20,0,0,4,0,0
4/12/2023,Signal trouble in Ronkonkoma Station,0,0,0,3,0,0,8,0,0
4/5/2023,Signal trouble west of Forest Hills Station,12,0,0,0,0,0,20,0,0
4/5/2023,Train 657 cancelled in Hicksville with equipment trouble,0,0,0,2,0,0,7,0,1
4/4/2023,Train 717 caused delays due to equipment trouble west of Jamaica,24,11,2,0,0,0,4,2,1
4/4/2023,Switch trouble in Harold Interlocking,0,0,0,37,2,0,17,0,0
3/31/2023,Train 122 delayed at Merrick Station for medical assistance,6,0,1,0,0,0,3,1,0
3/30/2023,Train 617 disabled in west of Jamaica,28,0,0,0,0,0,9,0,0
3/30/2023,Train 1962 delayed at Woodside with equipment trouble,0,0,0,9,0,0,7,0,0
3/29/2023,Delays due to adjusting to new Grand Central timetable,1,0,0,0,0,0,10,0,0
3/25/2023,Continuation of Hicksville trespasser strike,0,0,0,0,0,0,11,0,0
3/24/2023,Train 503 disabled east of Jamaica Station,25,0,0,0,0,0,3,0,0
3/24/2023,Trespasser strike west of Hicksville Station,0,0,0,0,0,0,15,1,0
3/23/2023,Signal trouble in Wood Interlocking,0,0,0,10,0,0,3,0,0
3/23/2023,Signal trouble at East Rockaway,10,0,0,0,0,0,2,0,0
3/14/2023,Delays due to adjusting to new Grand Central timetable,9,0,0,0,0,0,4,0,0
3/14/2023,Delays due to Amtrak track condition in Penn Station,0,0,0,21,0,0,11,0,0
3/14/2023,Train 42 delayed in Penn Station with equipment trouble,0,0,0,4,0,0,8,0,0
3/10/2023,Delays due to adjusting to new Grand Central timetable,11,0,0,0,0,0,0,0,0
3/8/2023,Delays due to adjusting to new Grand Central timetable,10,0,0,1,0,0,3,0,0
3/8/2023,Slow loading system wide,11,0,0,0,0,0,3,0,0
3/7/2023,Switch trouble at Hall Interlocking,14,0,0,0,0,0,0,0,0
3/7/2023,Delays due to adjusting to new Grand Central timetable,8,0,0,2,0,0,6,0,0
3/6/2023,Delays due to adjusting to new Grand Central timetable,5,0,0,0,0,0,7,0,0
3/2/2023,Heavy loading system wide,6,0,0,0,0,0,7,0,0
3/2/2023,Delays due to adjusting to new Grand Central timetable,8,0,0,1,0,0,1,0,0
3/1/2023,Speed restriction at Deer Park station due to damaged crossing gate,12,0,0,0,0,0,0,0,0
3/1/2023,Slow loading system wide,1,0,0,5,0,0,4,0,0
3/1/2023,Heavy loading system wide,6,0,0,3,0,0,1,0,0
2/28/2023,Inclement weather causing  systemwide delays,31,0,0,0,0,0,5,0,0
2/28/2023,Power issues east of Grand Central Station,5,0,3,0,0,0,28,1,4
2/27/2023,Delays due to adjusting to new Grand Central timetable,12,0,0,19,0,0,11,0,0
2/27/2023,Loss of Supervisory System in Jay and Hall Interlockings,46,0,0,0,0,0,14,0,0
2/22/2023,Train 1732 struck a trespasser just west of Syosset Station,0,0,0,4,0,1,5,0,0
2/21/2023,Track condition between Great Neck and Manhasset,0,0,0,0,0,0,2,0,10
2/9/2023,"Delays due to UGB strike at Continental Ave, Forest Hills",3,0,0,0,0,0,22,0,0
2/9/2023,Train 1156 cancelled in Jamaica with equipment trouble,0,0,0,7,0,1,4,0,0
2/7/2023,Train 2791 delayed west of Jamaica with equipment trouble,10,0,1,0,0,0,4,0,0
2/4/2023,Extreme cold causing delays system wide,0,0,0,0,0,0,20,0,5
2/2/2023,Train 2854 struck a trespasser at East New York Station,0,0,0,5,0,0,16,0,1
1/13/2023,Delays caused by deceased trespasser at Floral Park Station,12,0,0,0,0,0,6,0,0
1/12/2023,Train 2819 delayed in Jamaica with equipment trouble,10,0,0,0,0,0,0,0,0
12/23/2022,High winds causing system wide delays,9,0,0,8,0,4,27,1,3
12/23/2022,High water conditions on the Long Beach branch causing delays,1,3,5,0,8,0,11,19,10
12/11/2022,Train 8772 delayed in Sayville with equipment trouble,0,0,0,0,0,0,6,2,2
12/8/2022,Trespasser strike east of Central Islip Station,0,0,0,3,0,4,2,0,2
12/6/2022,Low adhesion system wide,3,0,0,3,0,0,4,0,0
12/1/2022,Train 52 cancelled in Valley Stream with equipment trouble,0,0,0,0,0,0,9,0,1
11/30/2022,Low adhesion system wide,14,0,0,0,0,0,0,0,0
11/29/2022,Amtrak related track condition in Penn Station,0,0,0,21,6,0,11,0,0
11/21/2022,Switch trouble west of Jamaica,23,1,2,0,0,0,1,0,0
11/18/2022,Structural fire adjacent to Island Park station,0,0,0,7,1,1,4,1,0
11/15/2022,Low adhesion system wide,0,0,0,6,0,0,8,0,0
11/14/2022,Trains originating / terminating in Great Neck due to track condition,0,0,0,0,0,0,0,0,14
11/11/2022,Train 29 disabled entering West Side Yard,11,0,0,0,0,0,0,0,0
11/11/2022,Trespasser strike at Flushing Main Street,0,0,0,2,3,1,5,2,0
11/11/2022,Low adhesion system wide,0,0,0,2,0,0,9,0,0
11/10/2022,Low adhesion system wide,3,0,0,0,0,0,8,4,0
11/6/2022,Low adhesion system wide,0,0,0,0,0,0,12,0,0
11/4/2022,Rail condition in Valley Interlocking,0,0,0,0,0,0,6,9,1
10/23/2022,Queens Interlocking Cutover trackwork,0,0,0,0,0,0,29,0,0
10/22/2022,Queens Interlocking Cutover trackwork,0,0,0,0,0,0,49,0,0
10/16/2022,Queens Interlocking Cutover trackwork,0,0,0,0,0,0,13,0,0
10/10/2022,Trespasser strike at Pond Road,0,0,0,9,0,4,0,0,0
10/1/2022,PSE&G power trouble in Mastic-Shirley,0,0,0,0,0,0,11,0,0
9/15/2022,Amtrak related track condition in F interlocking,0,0,0,7,0,0,7,1,0
9/15/2022,Track condition between Dunton and East New York,0,0,0,1,0,0,10,0,0
9/13/2022,Switch trouble at Nassau,0,0,0,6,0,0,4,0,0
9/7/2022,Track condition east of Plandome Station,0,0,0,0,0,0,5,0,10
9/5/2022,Equipment trouble east of Amagansett Station,0,0,0,0,0,0,9,0,2
9/3/2022,Motor vehicle strike west of Huntington Station,0,0,0,0,0,0,4,1,6
8/30/2022,Trespasser injured by train in Jamaica Station,12,0,1,0,0,0,0,0,0
8/26/2022,Weather related signal trouble system wide,0,0,0,12,0,3,22,0,0
8/24/2022,Weather related signal trouble west of Hicksville,1,0,0,0,0,0,10,0,0
8/23/2022,Weather related signal trouble in Huntington,0,0,0,2,0,0,9,0,0
8/18/2022,Heavy event loading at Mets Willets Point,0,0,0,0,0,0,11,0,0
8/18/2022,Track condition west of Forest Hills Station,18,0,0,0,0,0,0,0,0
8/18/2022,Track condition west of Port Washington Station,3,0,2,0,0,0,7,0,15
8/15/2022,Equipment train struck debris in Penn Station,0,0,0,9,0,0,4,0,0
8/9/2022,Loss of Supervisory System in PSCC,3,0,0,0,0,0,6,0,1
8/9/2022,Amtrak related track condition in F Interlocking,0,0,0,34,7,0,18,1,0
7/19/2022,Switch trouble east of Rockville Centre Station,0,0,0,8,1,1,2,0,0
7/11/2022,Disabled Amtrak train in Harold Interlocking,0,0,0,0,0,0,10,0,1
7/5/2022,Heavy holiday loading,1,0,0,0,0,0,10,0,0
7/1/2022,Signal trouble in Nassau Interlocking,6,0,0,0,0,0,8,0,0
7/1/2022,Trespasser strike at New Hyde Park Station,0,0,0,0,0,0,8,2,0
6/29/2022,Train 1637 held at Carle Place station for police assistance,0,0,0,0,0,0,8,2,0
6/26/2022,Track condition east of Plandome Station,0,0,0,0,0,0,1,0,40
6/25/2022,Track condition east of Plandome Station,0,0,0,0,0,0,2,4,20
6/25/2022,Amtrak Supervisory System trouble,0,0,0,0,0,0,15,0,0
6/24/2022,NYAR train derailed east of Ronkonkoma,0,1,0,0,1,0,1,8,0
6/17/2022,Forest Hills concert loading,0,0,0,0,0,0,12,0,0
6/9/2022,Train 2019 cancelled in Brentwood due to equipment trouble,10,0,1,0,0,0,1,0,0
6/8/2022,Signal trouble in Atlantic Terminal,0,0,0,9,6,2,7,0,2
6/7/2022,Switch trouble in Queens Interlocking,0,0,0,0,0,0,12,0,0
6/2/2022,Track condition on Port Washington branch,0,0,0,3,3,0,25,4,2
5/22/2022,Track condition on Hempstead Branch,0,0,0,0,0,0,8,2,2
5/21/2022,Track condition between Great Neck and Port Washington,0,0,0,0,0,0,2,1,17
5/20/2022,Track condition east of Woodside Station,0,0,0,6,0,0,5,0,0
5/12/2022,Amtrak related switch trouble in F Interlocking,0,0,0,8,0,0,7,0,0
4/22/2022,Switch trouble in Babylon Interlocking,0,0,0,4,0,0,10,1,0
4/22/2022,Signal trouble east of Woodside,0,0,0,5,0,0,5,0,0
4/11/2022,Amtrak  related switch trouble in F Interlocking,0,0,0,17,4,0,10,1,2
4/11/2022,Signal trouble on the Long Beach branch,0,0,0,6,0,0,4,0,0
4/8/2022,NYAR train with equipment trouble at Carle Place,0,0,0,0,0,0,11,0,0
4/8/2022,Train 566 with equipment trouble at Queens Village,0,0,0,8,0,1,4,0,0
3/31/2022,Trespasser on the tracks between Forest Hills & Woodside,0,0,0,14,0,0,6,0,0
3/29/2022,Track condition at Floral Park Station,11,0,0,0,0,0,12,1,0
3/26/2022,Loss of Supervisory System in Babylon Interlocking,0,0,0,0,0,0,12,0,1
3/23/2022,Main Line Expansion project,11,0,0,0,0,0,5,0,0
3/23/2022,Motor vehicle accident on the tracks at Nassau Blvd,0,0,0,2,1,3,3,0,5
3/13/2022,Amtrak equipment trouble,0,0,0,0,0,0,37,1,7
3/9/2022,Signal trouble in Valley Interlocking,0,0,0,5,0,0,5,0,0
2/22/2022,Trespasser strike east of Forest Hills Station,35,5,7,0,0,0,26,4,1
2/16/2022,Train struck motor vehicle west of Hewlett Station,0,0,0,3,0,0,4,2,1
2/15/2022,Smoke condition west of Nostrand Ave. Station,0,0,0,1,0,0,6,1,4
2/4/2022,Extreme cold causing delays,0,0,0,4,0,0,6,0,0
2/2/2022,Amtrak related power issue in JO Interlocking,0,0,0,24,5,0,6,1,0
2/1/2022,Winter Storm Kenan,5,0,1,0,0,0,4,0,0
1/31/2022,Winter storm Kenan,59,5,3,0,0,1,51,7,0
1/31/2022,Loss of Supervisory System in Valley Interlocking,8,3,1,0,0,0,4,0,0
1/30/2022,Winter storm Kenan,0,0,0,0,0,0,91,3,15
1/30/2022,Trespasser strike at Baldwin Station,0,0,0,0,0,0,8,4,3
1/29/2022,Winter storm Kenan,0,0,0,0,0,0,25,1,0
1/16/2022,Wires across tracks at East New York,0,0,0,0,0,0,11,3,2
1/15/2022,Trespasser strike east of Woodside,0,0,0,0,0,0,11,0,0
1/7/2022,Snow storm causing system wide delays,26,0,0,1,0,0,6,0,0
1/6/2022,Switch trouble in Harold Interlocking,0,0,0,5,2,0,5,0,0
1/4/2022,Train 605 cancelled in Smithtown with equipment trouble,8,0,1,0,0,0,3,0,0
12/21/2021,Trespasser strike at Mineola Station,0,0,0,17,1,5,15,1,0
12/20/2021,Signal trouble at Lead Bridge,4,4,1,0,0,0,1,0,2
12/20/2021,Track condition west of Syosset,2,0,0,0,0,0,11,0,0
12/8/2021,Low adhesion system wide,0,0,1,2,0,0,10,0,0
12/7/2021,Switch trouble at Carle Place,5,0,1,0,0,0,6,0,0
12/6/2021,Rule 100-W in effect (Low adhesion),0,0,0,7,0,0,45,0,0
12/6/2021,Track condition west of Plandome Station,0,0,0,0,0,0,5,1,10
12/6/2021,Low adhesion system wide,1,0,0,5,0,0,7,0,0
12/4/2021,Trespasser strike at East Rockaway Station,0,0,0,0,0,0,9,0,1
12/2/2021,Low adhesion system wide,5,0,0,0,0,0,7,0,0
11/28/2021,Low adhesion systemwide,0,0,0,0,0,0,13,0,0
11/28/2021,Rule 100W in effect (low adhesion),0,0,0,0,0,0,21,0,0
11/28/2021,Trespasser on tracks between Forest Hills and Woodside,0,0,0,0,0,0,15,0,0
11/26/2021,Low adhesion systemwide,3,0,0,0,0,0,7,0,1
11/24/2021,Signal trouble in Valley Stream,0,0,0,0,0,0,11,0,0
11/22/2021,Low adhesion systemwide,3,0,0,0,0,0,9,0,0
11/21/2021,Low adhesion systemwide,0,0,0,0,0,0,12,0,0
11/20/2021,Low adhesion systemwide,0,0,0,0,0,0,11,0,0
11/18/2021,Rule 100W in effect (low adhesion),0,0,0,0,0,0,32,0,0
11/17/2021,Low adhesion systemwide,3,0,0,1,0,0,11,0,0
11/16/2021,Trespasser strike at Mineola,0,0,0,0,0,0,2,4,7
11/14/2021,Rule 100W in effect (low adhesion),0,0,0,0,0,0,32,0,0
11/14/2021,Low adhesion systemwide,0,0,0,0,0,0,9,1,2
11/13/2021,Low adhesion systemwide,0,0,0,0,0,0,10,0,0
11/13/2021,Trespasser  strike at Woodside Station,0,0,0,0,0,0,31,0,2
11/12/2021,Low adhesion systemwide,6,0,2,0,0,0,9,0,2
11/12/2021,Rule 100W in effect (low adhesion),2,0,0,0,0,0,21,0,0
11/1/2021,Trespasser strike west of Baldwin Station,5,9,0,0,0,0,4,3,1
10/29/2021,Low adhesion system wide,0,0,0,0,0,0,12,0,0
9/22/2021,Trespasser strike west of Huntington,0,0,0,0,0,0,8,2,2
9/19/2021,Temporary platforms west of Jamaica,0,0,0,0,0,0,32,0,0
9/18/2021,Temporary platforms west of Jamaica,0,0,0,0,0,0,32,0,0
9/15/2021,Congestion caused by cancelled equipment train in Babylon,0,0,0,0,0,0,9,1,0
9/14/2021,Trespasser strike at Wantagh Station,0,0,0,8,0,2,2,2,1
9/11/2021,Train 8774 cancelled at Bellmore Station with equipment trouble,0,0,0,0,0,0,14,1,1
9/2/2021,Tropical Storm Ida,37,41,4,0,4,2,48,77,33
9/1/2021,Tropical Storm Ida,0,0,0,0,0,0,6,8,23
8/28/2021,Signal trouble due to severe lightning storm,0,0,0,0,0,0,11,0,0
8/18/2021,Track condition in Queens Interlocking,0,0,0,5,0,4,6,1,0
8/10/2021,Trespasser strike at Floral Park Station,19,6,2,0,0,0,12,6,2
8/3/2021,Bridge strike east of Jamaica,10,0,0,0,0,0,2,0,0
7/13/2021,Train 718 cancelled in Jamaica with equipment trouble,0,0,0,0,0,0,9,0,1
7/12/2021,Smoke condition west of Nostrand Avenue Station,0,0,0,0,0,0,11,0,0
7/11/2021,Signal trouble in Harold Interlocking,0,0,0,0,0,0,10,1,2
7/9/2021,Tropical Storm Elsa,0,0,0,1,0,0,13,12,5
7/9/2021,Amtrak related signal trouble,5,0,0,0,0,0,6,0,0
7/8/2021,Tropical Storm Elsa,0,0,0,11,2,0,20,0,0
7/5/2021,Summer Service Loading,0,0,0,0,0,0,13,0,0
7/2/2021,Switch trouble east of Atlantic Ave. Station,7,0,1,0,0,0,5,0,0
6/22/2021,Trespasser on tracks in Lynbrook,10,2,0,0,0,0,3,2,0
6/21/2021,Trespasser strike at Bellmore Station,14,4,1,0,0,0,9,0,0
6/6/2021,Temporary platforms west of Jamaica due to scheduled trackwork,0,0,0,0,0,0,22,0,0
5/31/2021,Trouble with Lead Bridge,0,0,0,0,0,0,1,1,8
5/11/2021,Disabled vehicle on tracks at the east end of Deer Park Station,3,3,1,0,0,0,4,0,0
5/6/2021,Delays and cancellations due to structure fire east of Westbury,3,31,1,5,10,0,77,29,9
5/5/2021,Delays and cancellations due to structure fire east of Westbury,0,0,0,0,0,0,8,8,7
4/24/2021,Trespasser strike at Merrick Station,0,0,0,0,0,0,32,3,1
4/24/2021,Train 8774 delayed in Valley Interlocking with equipment trouble,0,0,0,0,0,0,8,4,0
4/21/2021,Scheduled track work on the Port Washington Branch,1,0,0,2,0,0,7,0,0
4/21/2021,Track condition east of Garden City Station,0,0,0,0,1,5,0,0,25
4/20/2021,Trespasser strike at Greenlawn Station,0,0,0,3,0,3,3,1,0
4/2/2021,Scheduled track work on the Port Washington Branch,6,0,0,6,0,0,7,0,0
3/31/2021,Scheduled track work between Shea Interlocking and Bayside,4,0,0,2,0,0,9,0,0
3/30/2021,Scheduled track work between Shea Interlocking and Bayside,2,0,0,7,0,0,14,0,0
3/29/2021,Scheduled track work between Shea Interlocking and Bayside,0,0,0,6,1,0,7,0,0
3/29/2021,Delays and congestion resulting from revised schedule,8,0,0,0,0,0,3,0,0
3/26/2021,Unable to close Lead Bridge,0,0,0,2,0,2,0,1,8
3/17/2021,Crossing gate malfunctions between Oakdale and Sayville,0,0,0,0,0,0,16,0,0
3/14/2021,Amtrak related power issues,0,0,0,0,0,0,10,0,0
3/9/2021,Debris on tracks just east of Mineola Station,0,0,0,0,0,0,14,0,0
3/4/2021,Trespasser strike at Kew Gardens Station,0,0,0,0,0,0,9,1,0
3/2/2021,Extension of Main Line Expansion Project,0,0,0,0,0,0,13,11,10
3/1/2021,Extension of Main Line Expansion Project,17,5,0,5,7,1,38,20,16
2/27/2021,Amtrak related power outage,0,0,0,0,0,0,0,0,31
2/19/2021,Winter Storm,15,0,0,0,0,0,21,0,0
2/18/2021,Winter Storm,0,0,0,11,0,0,29,0,1
2/16/2021,Trespasser struck by train west of Deer Park Station,0,0,0,3,1,1,5,1,0
2/2/2021,Winter Storm,0,0,0,0,0,0,10,4,0
2/1/2021,Winter Storm,0,0,0,0,0,0,88,23,5
1/29/2021,PSE&G high tension wire across tracks east of Copiague Station,5,15,1,3,0,0,15,14,15
1/22/2021,Train 28 disabled in C Interlocking,16,0,0,0,0,0,3,0,0
1/17/2021,Track condition on Central Branch resulting in delays,0,0,0,0,0,0,27,10,2
1/14/2021,Trespasser fatality at Mineola Station,0,0,0,0,0,0,14,0,1
1/13/2021,Trespasser fatality at Rockville Centre Station,13,2,2,0,0,0,5,2,1
12/22/2020,Weather related switch trouble,8,0,0,0,0,0,4,0,0
12/21/2020,Trespasser fatality west of East New York Station,3,1,13,0,0,0,2,0,8
12/21/2020,Switch trouble in Queens Interlocking,0,0,0,7,0,0,3,0,0
12/18/2020,Winter Storm Gail,6,0,0,4,0,0,15,1,0
12/17/2020,Winter Storm Gail,0,0,0,0,0,0,84,16,1
12/16/2020,Track condition west of Mastic-Shirley Station,9,1,0,0,0,0,1,0,0
12/16/2020,Scheduled switch work between Jamaica and Atlantic Ave Stations,0,0,0,0,0,0,0,0,10
12/16/2020,Amtrak related switch trouble,0,0,0,10,0,0,4,0,0
12/16/2020,Winter Storm Gail,0,0,0,37,4,1,90,4,0
12/15/2020,Loss of Supervisory System in PSCC,0,0,0,1,0,0,12,0,0
12/15/2020,Trespasser fatality at Carle Place Station,0,0,0,0,0,0,10,0,2
12/14/2020,Loss of Supervisory System in PSCC,0,0,0,48,0,6,18,4,11
12/8/2020,Track condition in Harold Interlocking,0,0,0,0,0,0,10,0,0
11/20/2020,Signal trouble east of Jamaica Station,0,0,0,1,0,0,15,0,0
11/19/2020,Amtrak related track condition,3,10,12,0,0,0,0,1,0
11/18/2020,100 Cycle power outage west of Jamaica,55,0,3,0,0,0,34,0,1
11/16/2020,Loss of Supervisory System at Divide,1,0,0,9,3,8,20,4,2
11/16/2020,Crossing protection out of order east of Brentwood Station,13,0,0,0,0,0,0,0,0
11/16/2020,Track circuit failure in Amity Interlocking,6,4,0,0,0,0,2,0,0
11/15/2020,Low adhesion system wide,0,0,0,0,0,0,46,0,1
11/15/2020,Track condition west of Hicksville,0,0,0,0,0,0,10,0,0
11/14/2020,Scheduled track work west of Jamaica,0,0,0,0,0,0,13,0,0
11/11/2020,Low adhesion system wide,0,0,0,2,0,0,8,0,0
11/8/2020,Trespasser strike at Rockville Centre Station,0,0,0,0,0,0,9,2,1
11/2/2020,Track circuit failure at Forest Hills Station,51,3,7,0,0,0,9,1,0
11/2/2020,Track condition east of Plandome Station,0,0,0,0,0,0,7,1,8
11/1/2020,Heavy rain and wind causing delays system wide,0,0,0,0,0,0,12,0,0
10/30/2020,Track condition east of Nassau Interlocking,0,0,0,8,0,0,12,0,0
10/20/2020,Trespasser strike west of Central Islip Station,3,8,0,0,0,0,2,0,0
10/13/2020,Trespasser strike east of Woodside Station,45,18,17,0,0,0,11,3,10
10/11/2020,Amtrak signal trouble in Harold Interlocking,0,0,0,0,0,0,6,2,3
9/29/2020,Trespasser injured by train at Massapequa Park Station,0,0,0,7,0,2,5,1,0
9/26/2020,Train 7020 receiving medical assistance at Bellmore Station,0,0,0,0,0,0,12,1,0
9/17/2020,Switch trouble at Merillon Ave,11,0,0,0,0,0,7,0,0
9/15/2020,Train 1205 disabled east of Carle Place,11,0,1,0,0,0,5,0,0
9/11/2020,Track condition west of Hicksville,7,2,0,0,0,0,5,0,0
8/18/2020,Amtrak train disabled in Line 1,0,0,0,7,2,0,0,1,0
8/10/2020,Signal trouble at Central Islip,9,0,0,0,0,0,1,0,0
8/9/2020,Switch damage caused by work train at Shea interlocking,0,0,0,0,0,0,15,24,2
8/9/2020,Track circuit failure west of Jamaica,0,0,0,0,0,0,10,0,0
8/7/2020,Tropical Storm Isaias,10,0,0,0,0,0,16,0,0
8/6/2020,Tropical Storm Isaias,11,2,0,2,2,1,14,6,0
8/5/2020,Tropical Storm Isaias,35,61,4,6,17,0,53,93,3
8/4/2020,Tropical Storm Isaias,0,0,0,0,116,0,29,208,17
8/3/2020,Train 733 with equipment trouble in Queens Interlocking,0,0,0,0,0,0,7,2,2
7/31/2020,Concrete tie replacement program resulting in delays,0,0,0,1,0,0,1,11,1
7/23/2020,Track condition east of Harold Interlocking,0,0,0,2,0,0,10,0,2
7/22/2020,Heavy rain and wind conditions resulting in delays,0,0,0,9,0,0,15,0,1
7/20/2020,Track condition west of Locust Manor Station,0,0,0,10,0,0,2,0,0
7/19/2020,Trespasser fatality in Jamaica Station,0,0,0,0,0,0,10,1,1
7/16/2020,Track condition west of Shea Interlocking,12,2,0,0,0,0,1,0,0
7/13/2020,Track condition in Nassau Interlocking,26,0,0,0,0,0,5,0,0
7/11/2020,Police activity in Jamaica Station,0,0,0,0,0,0,16,4,0
7/10/2020,Tropical storm creating weather related delays,0,0,0,4,0,0,13,0,0
7/1/2020,Train 148 disabled in Line 3 with equipment trouble,0,0,0,26,24,1,14,3,16
