Date,Event Description,AM Peak - Late,AM Peak - Canceled,AM Peak - Terminated,PM Peak - Late,PM Peak - Canceled,PM Peak - Terminated,Off Peak - Late,Off Peak - Canceled,Off Peak - Terminated
2/6/2025,Bridge strike Forest Hills,4,0,0,0,0,0,20,0,0
2/4/2025,Equipment trouble NO.1963 West of Jamaica,0,0,0,8,0,0,2,0,0
2/3/2025,Loss of supervisory system in Jay and Dunton,38,0,0,0,0,0,25,0,0
1/30/2025,Signal trouble at Babylon,0,0,0,0,0,0,9,1,0
1/29/2025,Broken rail on No. 2 track east of Rocky Interlocking,0,0,0,0,0,0,10,0,0
1/27/2025,100 cycle power problem west of Jamaica,0,0,0,0,0,0,31,0,0
1/23/2025,Equipment trouble - NO. 76,0,0,0,0,0,0,15,0,1
1/20/2025,Inclement weather system wide,12,1,1,0,0,0,10,0,2
1/20/2025,Equipment trouble - NO. 1019,9,1,3,0,0,0,5,0,0
1/20/2025,Vehicle strike - Robbins lane,0,3,3,0,0,0,8,1,2
1/15/2025,Broken rail on No.1 track at Wantagh INT,9,3,1,0,0,0,3,2,0
1/15/2025,Switch trouble at Plaza,3,4,0,0,0,0,8,1,0
1/8/2025,Broken rail on No.1 track west of East New York,12,3,1,0,0,0,17,4,0
12/27/2024,Broken rail - Ocean Ave,5,1,0,0,0,0,11,0,0
12/24/2024,Derailment - Port Jefferson,3,7,1,0,0,0,10,8,0
12/23/2024,Switch trouble - Queens,14,0,0,0,0,0,2,0,0
12/23/2024,Tipped 3rd rail at Pinelawn,0,0,0,0,0,0,11,3,1
12/21/2024,Motor vehicle on the tracks - Farmingdale,0,0,0,0,0,0,6,1,3
12/18/2024,Slip slide,0,0,0,4,0,1,9,0,0
12/13/2024,Loss of air pressure In Jamaica,86,26,3,5,0,0,39,9,0
12/13/2024,Equipment trouble Amagansett  NO.93,0,0,0,6,1,0,6,1,0
12/12/2024,Amtrak related - 3rd rail protection board obstructing 18 track in PSNY,12,2,0,0,0,0,3,1,0
12/12/2024,Equipment trouble Babylon NO.13,0,0,0,0,0,0,13,0,1
12/11/2024,Track circuit failure - Hall,19,0,0,0,0,0,0,0,0
12/10/2024,Track circuit failure - Jamaica,12,0,0,0,0,0,0,0,0
12/9/2024,Motor vehicle on the tracks - Bayshore,0,0,0,1,0,0,11,1,0
12/9/2024,Track circuit failure - Babylon,0,0,0,0,0,0,12,1,0
12/8/2024,Motor vehicle on the tracks - East of Bellrose,0,0,0,0,0,0,43,8,5
12/4/2024,Slip slide,0,0,0,0,0,0,13,0,0
11/29/2024,Slip-Slide system wide,1,0,0,2,0,0,11,0,0
11/22/2024,Slip-Slide system wide,0,0,0,3,0,0,18,0,0
11/21/2024,Heavy weather loading,6,0,0,0,0,0,7,0,0
11/13/2024,Track circuit failure at Port Jefferson 1,4,0,0,0,0,0,8,0,0
11/10/2024,Slip-Slide system wide,0,0,0,0,0,0,10,4,0
11/8/2024,Equipment Trouble at Woodmere,5,2,1,0,0,0,2,1,1
11/5/2024,Track circuit failure at Atlantic 1,6,0,0,0,0,0,6,2,0
11/4/2024,Track circuit failure at GCT 6,10,0,4,0,0,0,0,0,0
10/31/2024,Trespasser on the tracks at Rockville Centre,0,0,0,14,0,1,0,0,0
10/23/2024,Broken rail West of East New York,0,0,0,0,0,0,1,11,0
10/18/2024,Track circuit failure at Copaigue,0,0,0,2,0,0,8,0,0
10/18/2024,Possible 292 at Divide,0,0,0,0,0,0,16,4,1
10/16/2024,Track circuit failure at Divide,0,0,0,2,0,0,13,0,0
10/15/2024,Track circuit failure west of Forest Hills,35,0,0,0,0,0,6,0,0
10/12/2024,Track car derailment in Hall interlocking,0,0,0,0,0,0,18,0,0
10/9/2024,Equipment trouble NO.2931,0,0,0,4,4,1,10,1,1
10/9/2024,Switch trouble at Park 3,0,0,0,6,0,0,4,0,0
10/6/2024,Trespasser strike at Brentwood Station,0,0,0,0,0,0,5,1,9
10/1/2024,Equipment trouble NO. 1564,0,0,0,9,0,0,5,0,0
10/1/2024,Equipment trouble NO. 652,0,0,0,1,0,0,11,0,0
9/25/2024,Signal trouble at Jay,0,0,0,0,0,0,20,0,3
9/21/2024,Forest Hills event loading,0,0,0,0,0,0,12,0,0
9/20/2024,Broken rail at Syosset,11,3,0,0,0,0,27,1,4
9/20/2024,Police assistance for train NO.192,0,0,0,0,0,0,16,0,0
9/13/2024,Forest Hills event loading,0,0,0,7,0,0,4,0,0
9/5/2024,Broken rail West of Patchogue,0,0,0,0,0,5,1,1,5
8/31/2024,Trespasser strike at Merrick,0,0,0,0,0,0,9,4,1
8/25/2024,Forest Hills concert loading,0,0,0,0,0,0,11,0,0
8/24/2024,PSCC evacuation for fire alarms,0,0,0,0,0,0,30,1,0
8/23/2024,Broken rail West of Stony Brook,1,5,1,0,0,0,0,7,1
8/22/2024,Event loading - UBS,2,0,0,0,0,0,9,0,0
8/19/2024,Severe weather conditions West of Smithtown,0,0,0,0,1,6,2,2,10
8/18/2024,Track circuit failure Neck 2 to Port Washington,0,0,0,0,0,0,10,0,2
8/13/2024,Track circuit failure East of Wood,11,0,0,0,0,0,1,0,0
8/13/2024,Switch trouble at Queens,0,0,0,0,0,0,11,0,0
8/9/2024,Equipment Trouble No.5373,0,0,0,4,5,0,14,0,0
8/9/2024,Possible 292 violation,0,0,0,11,2,0,10,0,0
8/8/2024,Power supply signal trouble on the West Hempstead branch,3,0,0,0,1,0,9,1,0
8/7/2024,Trespasser on the tracks at Jay Interlocking,30,0,0,0,0,0,2,0,0
8/7/2024,Equipment trouble NO. 229,5,2,1,0,0,0,2,0,0
8/6/2024,Heavy rain,0,0,0,12,0,0,25,0,0
8/6/2024,Fire in Line 3,0,0,0,14,2,0,13,3,0
8/1/2024,Track condition East of Malverne,0,0,0,4,0,4,2,0,0
7/31/2024,Debris strike at East New York,0,0,0,7,2,0,7,1,1
7/26/2024,Shortage of Equipment,0,0,0,0,0,0,12,0,0
7/25/2024,Track circuit failure at NA - 1,0,0,0,8,0,0,4,0,0
7/25/2024,Summer service loading,0,0,0,1,0,0,14,0,0
7/18/2024,Track circuit failure west of Dunton,0,0,0,7,0,0,8,1,0
7/18/2024,Switch trouble at Rocky Interlocking,0,0,0,8,0,0,3,0,0
7/17/2024,Lightning strike,0,0,0,1,1,6,12,4,10
7/15/2024,Switch trouble at Harold,23,0,1,0,0,0,0,0,0
7/12/2024,Track circuit failure at Neck 3,11,0,0,0,0,0,1,0,0
7/8/2024,Bad IJ at Babylon Interlocking,0,0,0,2,0,0,12,0,0
7/3/2024,Heavy holiday unloading system wide,0,0,0,5,0,0,9,0,0
